Semester CCYYS: 20149
Field of Study: all Fields of Study
This is a tab delimited text file. Please open in EXCEL.
The last field is a data check field. All the records should have a # sign in the last field. If not, data has been lost.
---
CCYYS	CSN	UNQ	FOS	CNBR	TPC	TITLE	CANC	INC	INST NAME	INST EID	ANCL	CLMT	SEATS TKN	12THDAY	TOT ANCL	TOT CLMT	TOT SEATS TKN	TOT 12THDAY	TYPE	MODE	PGM CODE	FLAGS	#XLISTGS	XLISTG INFO	SM-AS HM	M-SEC HM	#TL	DAYS1	FROM T1	TO T1	BLDG1	RM1	CAP1	GPC1	TL NOTES 1	DAYS2	FROM T2	TO T2	BLDG2	RM2	CAP2	GPC2	TL NOTES 2	DAYS3	FROM T3	TO T3	BLDG3	RM3	CAP3	GPC3	TL NOTES 3	STD1	STD2	STD3	STD4	STD5	STD6	STD7	STD8	STD9	STD10	STD11	STD12	STD13	STD14	STD15	STD16	STD17	STD18	SCH COMM	DEPT COMM	LUPD T	LUPD ID	DATA CHECK	
20149	100474	02615	ACC	 310F		FOUNDATIONS OF ACCOUNTING			VERDUZCO, D	dv2399	300	300	293	297	300	300	293	297	LECTURE	FACEFACE		QUANREAS	0				1	MW	12:30 pm	2:00 pm	UTC	2.102A	349	X							0								0																							10/27/2014	NRNW0291	#	
20149	100475	02620	ACC	 310F		FOUNDATIONS OF ACCOUNTING			VERDUZCO, D	dv2399	300	300	291	294	300	300	291	294	LECTURE	FACEFACE		QUANREAS	0				1	MW	2:00 pm	3:30 pm	UTC	2.102A	349	X							0								0																							10/27/2014	NRNW0291	#	
20149	100476	02625	ACC	 310F		FOUNDATIONS OF ACCOUNTING			VERDUZCO, D	dv2399	300	300	292	297	300	300	292	297	LECTURE	FACEFACE		QUANREAS	0				1	MW	3:30 pm	5:00 pm	UTC	2.102A	349	X							0								0																							10/27/2014	NRNW0291	#	
20149	112576	02610	ACC	 310F		FOUNDATIONS OF ACCOUNTING			SMITH, S	stsmith	300	300	285	294	300	300	285	294	LECTURE	FACEFACE		QUANREAS	0				1	TTH	8:00 am	9:30 am	UTC	2.102A	349	X							0								0																							10/27/2014	NRNW0291	#	
20149	115809	02627	ACC	 310F		FOUNDATIONS OF ACCOUNTING-WB			LIMBERG, S	stl47	15	14	14	14	15	14	14	14	SEMINAR	INTERNET		QUANREAS	0				0						0								0								0															A								10/27/2014	NRNW0291	#	
20149	100477	02655	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			SMITH, S	stsmith	70	70	68	69	70	70	68	69	LECTURE	FACEFACE		QUANREAS	0				1	TTH	11:00 am	12:30 pm	UTC	4.112	102	X							0								0																							10/27/2014	NRNW0291	#	
20149	100478	02690	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			DEVIDAL, D	devidal	70	70	21	22	70	70	21	22	LECTURE	FACEFACE		QUANREAS	0				1	TTH	3:30 pm	5:00 pm	UTC	3.102	103	X							0								0																							10/27/2014	NRNW0291	#	
20149	100479	02665	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			SMITH, S	stsmith	70	70	69	70	70	70	69	70	LECTURE	FACEFACE		QUANREAS	0				1	TTH	12:30 pm	2:00 pm	UTC	4.112	102	X							0								0																							10/27/2014	NRNW0291	#	
20149	100480	02675	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			DEVIDAL, D	devidal	70	70	64	69	70	70	64	69	LECTURE	FACEFACE		QUANREAS	0				1	TTH	2:00 pm	3:30 pm	UTC	3.112	102	X							0								0																							10/27/2014	NRNW0291	#	
20149	100481	02695	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			JOHNSTON-BLAIR, D	dj8795	70	70	68	69	70	70	68	69	LECTURE	FACEFACE		QUANREAS	0				1	TTH	3:30 pm	5:00 pm	UTC	4.112	102	X							0								0																							10/27/2014	NRNW0291	#	
20149	100482	02670	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			DEVIDAL, D	devidal	70	70	66	67	70	70	66	67	LECTURE	FACEFACE		QUANREAS	0				1	MW	2:00 pm	3:30 pm	UTC	3.102	103	X							0								0																							10/27/2014	NRNW0291	#	
