"Registrar - NATURAL SCIENCES SEMINAR","Wed,  22 Oct 2014 13:00 CDT","","Room: GDC 2.410"
"Registrar - PRINCPLS OF COMPUTATIONAL BIO","Wed,  22 Oct 2014 13:00 CDT","","Room: GDC 2.402"
"Learning Agents Research Group (LARG) group meeting","Wed,  22 Oct 2014 13:00 CDT","","Room: GDC 3.516"
"FLAME group meeting","Wed,  22 Oct 2014 13:00 CDT","","Room: GDC 5.816"
"Registrar - TOPICS IN CALCULUS","Wed,  22 Oct 2014 13:00 CDT","","Room: GDC 1.406"
"Registrar - COMPUTER PROGRAMMING: C++","Wed,  22 Oct 2014 13:00 CDT","","Room: GDC 1.304"
"Registrar - PRINCIPLES OF CHEMISTRY I","Wed,  22 Oct 2014 13:00 CDT","","Room: GDC 6.202"
"Computer Vision Reading Group","Wed,  22 Oct 2014 13:00 CDT","","Room: GDC 4.816"
"Registrar - DISCRETE MATH COMP SCI: HONORS","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 1.406"
"Registrar - TOPICS IN CALCULUS","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 2.210"
"Registrar - ELEMENTS OF WEB PROGRAMMING","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 5.302"
"Registrar - ALGORITHMS: TECHNIQUES & THRY","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 4.304"
"Registrar - THEORY OF COMPUTATION","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 4.302"
"Registrar - COMPUTER PROGRAMMING: PYTHON","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 2.506"
"Registrar - CELL BIOLOGY","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 2.502"
"Registrar - COMP INTEL IN GAME DSGN II-FRI","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 2.410"
"CS311 Exercise section","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 2.216"
"C S 395T (Dillig, T.)","Wed,  22 Oct 2014 14:00 CDT","",""
"Registrar - INTRO TO GAME DEVELOPMENT","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 1.304"
"Registrar - NATURAL SCIENCES SEMINAR","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 6.202"
"Registrar - AUTO VERIFICATION OF SOFTWARE","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 6.516"
"Interviews","Wed,  22 Oct 2014 14:00 CDT","","Room: GDC 4.314"
"Grad Tea Time","Wed,  22 Oct 2014 15:00 CDT","GDC 4.202",""
"CS 303E Discussion / Review","Wed,  22 Oct 2014 15:00 CDT","","Room: GDC 6.302"
"Registrar - BRITISH LITERATURE","Wed,  22 Oct 2014 15:00 CDT","","Room: GDC 1.406"
"Registrar - CELL BIOLOGY","Wed,  22 Oct 2014 15:00 CDT","","Room: GDC 2.210"
"Registrar - INTRODUCTION TO PROGRAMMING","Wed,  22 Oct 2014 15:00 CDT","","Room: GDC 2.216"
"Registrar - NATURAL SCIENCES SEMINAR","Wed,  22 Oct 2014 15:00 CDT","","Room: GDC 5.304"
"Registrar - CAPSTONE RESEARCH IN IRG","Wed,  22 Oct 2014 15:00 CDT","","Room: GDC 2.502"
"Registrar - SUPPL INSTRUCTION FOR M 427K","Wed,  22 Oct 2014 15:00 CDT","","Room: GDC 2.402"
"Dr. Cannata Office Hours","Wed,  22 Oct 2014 15:00 CDT","","Room: GDC 5.416"
"Registrar - COMPUTER NETWORKS","Wed,  22 Oct 2014 15:30 CDT","","Room: GDC 5.302"
"Registrar -  AUTON INTELLGNT ROBTCS II-FRI","Wed,  22 Oct 2014 15:30 CDT","","Room: GDC 2.410"
"Registrar - AUTOMATED SOFTWARE DESIGN","Wed,  22 Oct 2014 15:30 CDT","","Room: GDC 6.202"
"BWI meeting","Wed,  22 Oct 2014 15:30 CDT","","Room: GDC 3.516"
"Data Management","Wed,  22 Oct 2014 15:30 CDT","","Room: GDC 5.816"
"ASP Seminar","Wed,  22 Oct 2014 15:30 CDT","","Room: GDC 3.816"
"CNS Interview","Wed,  22 Oct 2014 15:30 CDT","","Room: GDC 2.104"
"Interviews","Wed,  22 Oct 2014 16:00 CDT","","Room: GDC 4.314"
"Registrar - MOLECULAR BIOLOGY","Wed,  22 Oct 2014 16:00 CDT","","Room: GDC 2.210"
"Registrar - COMPUTER FLUENCY","Wed,  22 Oct 2014 16:00 CDT","","Room: GDC 2.216"
"Registrar - NATURAL SCIENCES SEMINAR","Wed,  22 Oct 2014 16:00 CDT","","Room: GDC 5.304"
"Registrar - COMPETITIVE PROGRAMMING","Wed,  22 Oct 2014 16:00 CDT","","Room: GDC 4.304"
"Registrar - CELLULAR & MOLECULAR NUTRITION","Wed,  22 Oct 2014 16:00 CDT","","Room: GDC 4.302"
"Registrar - COMPUTER PROGRAMMING: PHP/SQL","Wed,  22 Oct 2014 16:00 CDT","","Room: GDC 2.506"
"Registrar - 16-POLITICAL PSYCHOLOGY","Wed,  22 Oct 2014 16:00 CDT","","Room: GDC 1.406"
"Registrar - DATA MANAGEMENT","Wed,  22 Oct 2014 16:00 CDT","","Room: GDC 1.304"
"Registrar - PLUS Study Group ","Wed,  22 Oct 2014 17:00 CDT","","Room: GDC 2.210"
"Registrar - CS 303E Discussion Reviews ","Wed,  22 Oct 2014 17:00 CDT","","Room: GDC 5.304"
"Registrar - CELLULAR & MOLECULAR NUTRITION","Wed,  22 Oct 2014 17:00 CDT","","Room: GDC 4.302"
"CS311 Exercise section","Wed,  22 Oct 2014 17:00 CDT","","Room: GDC 2.216"
"Turing Scholars Admissions","Wed,  22 Oct 2014 17:00 CDT","","Room: GDC 5.516"
"PayPal Cofounder Peter Thiel talks on Innovation, Entrepreneurship, and New Book ""Zero to One""","Wed,  22 Oct 2014 17:30 CDT","LBJ Auditorium",""
"MAD Advanced Android","Wed,  22 Oct 2014 18:00 CDT","","Room: GDC 1.406"
"UTCS Study Hall (ACM)","Wed,  22 Oct 2014 18:00 CDT","","Room: GDC 2.410"
"UTCS Study Hall (ACM)","Wed,  22 Oct 2014 18:00 CDT","","Room: GDC 2.402"
"Registrar - GAME DEVEL CAPSTONE: 2-D GAMES","Wed,  22 Oct 2014 18:00 CDT","","Room: GDC 6.202"
"ACM General Meeting","Wed,  22 Oct 2014 19:00 CDT","","Room: GDC 4.302"
"Internship Panel with WiCS","Wed,  22 Oct 2014 19:00 CDT","","Room: GDC 6.302"
